Ano de exibição	Título da obra	Gênero	País(es) produtor(es) da obra	Nacionalidade da obra	Empresa distribuidora	Origem da empresa distribuidora	Público no ano de exibição	Renda (R$) no ano de exibição
2019	120 Batimentos Por Minuto	Ficção	França	Estrangeira	Imovision	Distribuição Nacional	10	70
2019	3 Faces	Ficção	Irã	Estrangeira	Imovision	Distribuição Nacional	6289	103805
2019	45 Dias Sem Você	Ficção	Brasil	Brasileira	O2 Play	Distribuição Nacional	3303	31295
2019	A 100 Passos De Um Sonho	Ficção	Estados Unidos	Estrangeira	Disney	Distribuição Internacional	69	4186
2019	A Abelhinha Maya - O Filme	Animação	Alemanha	Estrangeira	Playarte	Distribuição Nacional	402	3531
2019	A Batalha Das Correntes	Ficção	Estados Unidos	Estrangeira	Diamond Films	Distribuição Nacional	19579	425304
2019	A Bela da Tarde	Ficção	França, Itália	Estrangeira	Zeta Filmes	Distribuição Nacional	14	253
2019	A Cabeça De Gumercindo Saraiva	Ficção	Brasil	Brasileira	Elo Company	Distribuição Nacional	195	1830
2019	A Caminho De Casa	Ficção	Estados Unidos	Estrangeira	Sony	Distribuição Internacional	652641	9445705
2019	A Casa De Veraneio	Ficção	França, Itália	Estrangeira	Imovision	Distribuição Nacional	8001	137759
2019	A Casa Que Jack Construiu	Ficção	Alemanha, Dinamarca, França, Suécia	Estrangeira	Califórnia	Distribuição Nacional	530	4466
2019	A Cidade Dos Piratas	Animação	Brasil	Brasileira	Lança Filmes	Distribuição Nacional	2364	32055
2019	A Cinco Passos De Você	Ficção	Estados Unidos	Estrangeira	Paris	Distribuição Nacional	1346982	19364671
2019	A Costureira De Sonhos	Ficção	França, Índia	Estrangeira	Imovision	Distribuição Nacional	21464	360398
2019	A Câmera De Claire	Ficção	Coréia do Sul, França	Estrangeira	Pandora Filmes	Distribuição Nacional	72	456
2019	A Espiã Vermelha	Ficção	Inglaterra	Estrangeira	Califórnia	Distribuição Nacional	35593	676079
2019	A Esposa	Ficção	Estados Unidos, Reino Unido, Suécia	Estrangeira	Alpha Filmes	Distribuição Nacional	170609	3056791
2019	A Excêntrica Família De Gaspard	Ficção	França	Estrangeira	Bonfilm	Distribuição Nacional	39	344
2019	A Família Addams	Animação	Canadá, Estados Unidos, Inglaterra	Estrangeira	Universal	Distribuição Internacional	1622344	24330901
2019	A Família Submersa	Ficção	Brasil, Argentina	Brasileira	Esfera Produções	Distribuição Nacional	2538	38427
2019	A Favorita	Ficção	Estados Unidos	Estrangeira	Fox	Distribuição Internacional	254709	4988357
2019	A Fera Na Selva	Ficção	Brasil	Brasileira	O2 Play	Distribuição Nacional	3106	41232
2019	A Filosofia na Alcova	Ficção	Brasil	Brasileira	Espaço dos Satyros	Distribuição Nacional	150	2493
2019	A Forma Da Água	Ficção	Estados Unidos	Estrangeira	Disney	Distribuição Internacional	13	26
2019	A Fábrica De Nada	Ficção	Portugal	Estrangeira	Imovision	Distribuição Nacional	6	21
2019	A Garota Na Névoa	Ficção	Itália	Estrangeira	A2 Filmes	Distribuição Nacional	215	1924
2019	A Grande  Dama  Do Cinema	Ficção	Argentina	Estrangeira	Fênix Filmes	Distribuição Nacional	24992	426096
2019	A Grande Mentira	Ficção	Estados Unidos	Estrangeira	Warner	Distribuição Internacional	39508	844595
2019	A História De Um Sonho	Documentário	Brasil	Brasileira	Elo Company	Distribuição Nacional	4910	35242
2019	A Irmandade	Documentário	Brasil	Brasileira	Lume Produções Cinematográficas	Distribuição Nacional	684	6611
2019	A Juíza	Documentário	Estados Unidos	Estrangeira	Flow Filmes	Distribuição Nacional	6287	78834
2019	A Lenda De Golem	Ficção	Israel	Estrangeira	Playarte	Distribuição Nacional	8077	121734
2019	A Luta Do Século	Documentário	Brasil	Brasileira	Vitrine Filmes	Distribuição Nacional	25	56
2019	A Luz No Fim Do Mundo	Ficção	Estados Unidos	Estrangeira	Imagem	Distribuição Nacional	7335	154823
2019	A Maldição Da Chorona	Ficção	Estados Unidos	Estrangeira	Warner	Distribuição Internacional	361053	5617449
2019	A Maldição Da Freira	Ficção	Reino Unido	Estrangeira	Playarte	Distribuição Nacional	148557	2285835
2019	A Maratona De Brittany	Ficção	Estados Unidos	Estrangeira	Diamond Films	Distribuição Nacional	2380	47201
2019	A Menina E O Leão	Ficção	África do Sul, Alemanha, França	Estrangeira	Paris	Distribuição Nacional	34883	572953
2019	A Misteriosa Morte De Pérola	Ficção	Brasil	Brasileira	Embaúba Filmes	Distribuição Nacional	10	56
2019	A Morte Te Dá Parabéns 2	Ficção	Estados Unidos	Estrangeira	Universal	Distribuição Internacional	595463	8504116
2019	A Mula	Ficção	Estados Unidos	Estrangeira	Warner	Distribuição Internacional	177958	3957700
2019	A Mulher Do Meu Marido	Ficção	Argentina, Brasil	Brasileira	Bretz Filmes	Distribuição Nacional	3018	50248
2019	A Música Da Minha Vida	Ficção	Reino Unido	Estrangeira	Warner	Distribuição Internacional	17464	380002
2019	A Música Do Tempo - Do Sonho Do Império Ao Império Do Sonho	Documentário	Brasil	Brasileira	Espaço Filmes	Distribuição Nacional	317	5222
2019	A Noite Amarela	Ficção	Brasil	Brasileira	Vitrine Filmes	Distribuição Nacional	1798	12920
2019	A Noite De 12 Anos	Ficção	Argentina, Espanha, Uruguai	Estrangeira	Vitrine Filmes	Distribuição Nacional	1426	23535
2019	A Nossa Espera	Ficção	Bélgica, França	Estrangeira	Vitrine Filmes	Distribuição Nacional	10020	155360
2019	A Número Um	Ficção	França	Estrangeira	Imovision	Distribuição Nacional	6	54
2019	A Odisseia Dos Tontos	Ficção	Argentina, Espanha	Estrangeira	Warner	Distribuição Internacional	124934	2420806
2019	A Outra Mulher	Ficção	França	Estrangeira	Imovision	Distribuição Nacional	9	63
2019	A Parte Do Mundo Que Me Pertence	Documentário	Brasil	Brasileira	Olhar Distribuição	Distribuição Nacional	571	6299
2019	A Pedra Da Serpente	Ficção	Brasil	Brasileira	Elo Company	Distribuição Nacional	507	4346
2019	A Pequena Travessa	Ficção	Alemanha	Estrangeira	Paris	Distribuição Nacional	9298	135533
2019	A Prece	Ficção	França	Estrangeira	Imovision	Distribuição Nacional	322	3178
2019	A Pé Ele Não Vai Longe	Ficção	Estados Unidos	Estrangeira	Diamond Films	Distribuição Nacional	10961	183761
2019	A Quarta Parede	Ficção	Brasil	Brasileira	Elo Company	Distribuição Nacional	1455	12327
2019	A Rebelião	Ficção	Estados Unidos	Estrangeira	Diamond Films	Distribuição Nacional	22732	366619
2019	A Resistência De Inga	Ficção	Alemanha, Dinamarca, França, Islândia	Estrangeira	Imovision	Distribuição Nacional	1078	16652
2019	A Rosa Azul De Novalis	Documentário	Brasil	Brasileira	Vitrine Filmes	Distribuição Nacional	704	4923
2019	A Rota Selvagem	Ficção	Estados Unidos	Estrangeira	Califórnia/Diamond Films	Distribuição Nacional	64	1570
2019	A Sereia: Lago Dos Mortos	Ficção	Rússia	Estrangeira	Paris	Distribuição Nacional	235011	3304494
2019	A Serpente	Ficção	Brasil	Brasileira	Jura Filmes	Distribuição Nacional	527	5591
2019	A Sombra Do Pai	Ficção	Brasil	Brasileira	Pandora Filmes	Distribuição Nacional	2908	43183
2019	A Tabacaria	Ficção	Alemanha, Áustria	Estrangeira	A2 Filmes	Distribuição Nacional	58901	1021174
2019	A Turma Do Pererê.Doc	Documentário	Brasil	Brasileira	O2 Play	Distribuição Nacional	472	4332
2019	A Vida De Diane	Ficção	Estados Unidos	Estrangeira	Supo Mungam Films	Distribuição Nacional	73	532
2019	A Vida Em Si	Ficção	Estados Unidos	Estrangeira	Paris	Distribuição Nacional	2028	28519
2019	A Vida Invisível	Ficção	Alemanha, Brasil	Brasileira	Sony/Vitrine Filmes	Codistribuição Internacional-Nacional	117222	2010086
2019	A Voz Do Silêncio	Ficção	Argentina, Brasil	Brasileira	Imovision	Distribuição Nacional	263	2275
2019	A Árvore  Dos Frutos Selvagens	Ficção	Alemanha, Bulgária, França, Suécia, Turquia	Estrangeira	Fênix Filmes	Distribuição Nacional	4705	73825
2019	A Última Chance	Ficção	Brasil	Brasileira	Europa	Distribuição Nacional	45	484
2019	A Última Loucura De Claire Darling	Ficção	França	Estrangeira	A2 Filmes	Distribuição Nacional	23355	400230
2019	Abaixo A Gravidade	Ficção	Brasil	Brasileira	Fênix Filmes	Distribuição Nacional	851	11263
2019	Abigail E A Cidade Proibida	Ficção	Rússia	Estrangeira	Playarte	Distribuição Nacional	66775	998015
2019	Abominável	Animação	China, Estados Unidos	Estrangeira	Universal	Distribuição Internacional	1026553	15115285
2019	Aconteceu Na Quarta-Feira (Doppelganger)	Ficção	Brasil	Brasileira	Forte Filmes	Distribuição Nacional	130	2451
2019	Acossado	Ficção	França	Estrangeira	Zeta Filmes	Distribuição Nacional	29	252
2019	Ad Astra	Ficção	Brasil, Estados Unidos	Estrangeira	Disney	Distribuição Internacional	360557	6839419
2019	Adam	Ficção	Bélgica, França, Marrocos	Estrangeira	Arteplex	Distribuição Nacional	16212	288790
2019	Adeus À Noite	Ficção	Alemanha, França	Estrangeira	Pandora Filmes	Distribuição Nacional	12802	202967
2019	After	Ficção	Estados Unidos	Estrangeira	Diamond Films	Distribuição Nacional	263616	3902213
2019	Ainda Temos A Imensidão Da Noite	Ficção	Brasil	Brasileira	Pandora Filmes	Distribuição Nacional	ND	ND
2019	Aladdin	Ficção	Estados Unidos	Estrangeira	Disney	Distribuição Internacional	4788803	80060751
2019	Alaska	Ficção	Brasil	Brasileira	Elo Company	Distribuição Nacional	2143	17500
2019	Albatroz	Ficção	Brasil	Brasileira	Paris	Distribuição Nacional	6387	112633
2019	Alex Camera 10	Documentário	Brasil	Brasileira	Moro Comunicação	Distribuição Nacional	358	4686
2019	Alita: Anjo De Combate	Ficção	Argentina, Canadá, Estados Unidos	Estrangeira	Fox	Distribuição Internacional	1028151	16823123
2019	Alma Imoral	Documentário	Brasil	Brasileira	Elo Company	Distribuição Nacional	3143	54483
2019	Amanda	Ficção	França	Estrangeira	Imovision	Distribuição Nacional	13131	213785
2019	Amanhã Chegou	Documentário	Brasil	Brasileira	Elo Company	Distribuição Nacional	23	306
2019	Ama-San	Documentário	Japão, Portugal	Estrangeira	Bretz Filmes	Distribuição Nacional	1717	23330
2019	Amazônia Groove	Documentário	Brasil	Brasileira	Pagu Pictures	Distribuição Nacional	1483	23661
2019	Amazônia, O Despertar Da Florestania	Documentário	Brasil	Brasileira	Descoloniza Filmes	Distribuição Nacional	3843	49989
2019	Ambiente Familiar	Ficção	Brasil	Brasileira	Elo Company	Distribuição Nacional	728	6111
2019	Amigos Alienígenas	Animação	Alemanha, Dinamarca, Luxemburgo	Estrangeira	Playarte	Distribuição Nacional	79	1068
2019	Amigos Para Sempre	Ficção	Estados Unidos	Estrangeira	Califórnia	Distribuição Nacional	19084	439896
2019	Amor Até Às Cinzas	Ficção	China, França, Japão	Estrangeira	Imovision	Distribuição Nacional	8116	136608
2019	Amor Em Jogo	Ficção	Israel	Estrangeira	Elite Filmes	Distribuição Nacional	294	4880
2019	Amor À Segunda Vista	Ficção	Bélgica, França	Estrangeira	Bonfilm	Distribuição Nacional	18505	286175
2019	Amores De Chumbo	Ficção	Brasil	Brasileira	Elo Company	Distribuição Nacional	73	425
2019	Angry Birds 2 - O Filme	Animação	Estados Unidos, Finlândia	Estrangeira	Sony	Distribuição Internacional	891264	12436382
2019	Animais Fantásticos: Os Crimes De Grindelwald	Ficção	Estados Unidos, Reino Unido	Estrangeira	Warner	Distribuição Internacional	1071	16148
2019	Anna - O Perigo Tem Nome	Ficção	França	Estrangeira	Paris	Distribuição Nacional	100442	1704122
2019	Annabelle 3: De Volta Para Casa	Ficção	Estados Unidos	Estrangeira	Warner	Distribuição Internacional	1782048	26401779
2019	Anos 90	Ficção	Estados Unidos	Estrangeira	Diamond Films	Distribuição Nacional	3854	60885
2019	Antes Que Tudo Desapareça	Ficção	Japão	Estrangeira	Zeta Filmes	Distribuição Nacional	4	28
2019	Antártica Por Um Ano	Documentário	Brasil	Brasileira	E.H. Produções	Distribuição Nacional	484	7712
2019	Antônio Um Dois Três	Ficção	Brasil	Brasileira	Olhar Distribuição	Distribuição Nacional	742	7984
2019	Aquaman	Ficção	Estados Unidos	Estrangeira	Warner	Distribuição Internacional	2919358	46807467
2019	Aquarius	Ficção	Brasil, França	Brasileira	Vitrine Filmes	Distribuição Nacional	158	1366
2019	Arranha-Céu : Coragem Sem Limite	Ficção	Estados Unidos	Estrangeira	Universal	Distribuição Internacional	64	512
2019	Arábia	Ficção	Brasil	Brasileira	Embaúba Filmes/Pique-Bandeira Filmes	Distribuição Nacional	31	252
2019	As Boas Maneiras	Ficção	França, Brasil	Brasileira	Imovision	Distribuição Nacional	26	232
2019	As Filhas Do Fogo	Ficção	Argentina	Estrangeira	Vitrine Filmes	Distribuição Nacional	6089	73723
2019	As Golpistas	Ficção	Estados Unidos	Estrangeira	Diamond Films	Distribuição Nacional	216825	3358896
2019	As Hiper Mulheres	Documentário	Brasil	Brasileira	Vitrine Filmes	Distribuição Nacional	15	166
2019	As Loucuras De Rose	Ficção	Reino Unido	Estrangeira	Diamond Films	Distribuição Nacional	1447	22428
2019	As Montanhas Se Separam	Ficção	China, França, Japão	Estrangeira	Imovision	Distribuição Nacional	27	175
2019	As Panteras	Ficção	Estados Unidos	Estrangeira	Sony	Distribuição Internacional	453400	6866235
2019	As Rainhas Da Torcida	Ficção	Estados Unidos, Reino Unido	Estrangeira	Diamond Films	Distribuição Nacional	13493	245774
2019	As Trapaceiras	Ficção	Estados Unidos	Estrangeira	Universal	Distribuição Internacional	90457	1581720
2019	As Viúvas	Ficção	Estados Unidos	Estrangeira	Fox	Distribuição Internacional	271	4376
2019	Asako I & Ii	Ficção	França, Japão	Estrangeira	Zeta Filmes	Distribuição Nacional	1937	23600
2019	Aspirantes	Ficção	Brasil	Brasileira	Ciclorama Filmes	Distribuição Nacional	382	5223
2019	Assunto De Família	Ficção	Japão	Estrangeira	Imovision	Distribuição Nacional	60226	971384
2019	Aventura Em Miniatura	Animação	China	Estrangeira	Lança Filmes	Distribuição Nacional	ND	ND
2019	Ayka	Ficção	Alemanha, Cazaquistão, China, França, Polônia, Rússia	Estrangeira	Zeta Filmes	Distribuição Nacional	1512	18670
2019	Azougue Nazaré	Ficção	Brasil	Brasileira	Inquieta Cinema Cultura e Comunicação	Distribuição Nacional	4145	36555
2019	B.O.	Ficção	Brasil	Brasileira	Raccord Produções	Distribuição Nacional	786	11535
2019	Bacurau	Ficção	França, Brasil	Brasileira	Vitrine Filmes	Distribuição Nacional	735191	11284729
2019	Baronesa	Documentário	Brasil	Brasileira	Vitrine Filmes	Distribuição Nacional	152	880
2019	Bate Coração	Ficção	Brasil	Brasileira	Downtown	Distribuição Nacional	5864	94671
2019	Beatriz	Ficção	Portugal, Brasil	Brasileira	Anagrama Filmes	Distribuição Nacional	1217	16103
2019	Benzinho	Ficção	Brasil, Uruguai	Brasileira	Vitrine Filmes	Distribuição Nacional	355	2347
2019	Bio	Ficção	Brasil	Brasileira	Bretz Filmes	Distribuição Nacional	896	13374
2019	Bixa Travesty	Documentário	Brasil	Brasileira	Arteplex	Distribuição Nacional	6591	43560
2019	Blitz	Ficção	Brasil	Brasileira	Pandora Filmes	Distribuição Nacional	253	2391
2019	Boas Intenções	Ficção	França	Estrangeira	Pandora Filmes	Distribuição Nacional	6491	99950
2019	Bohemian Rhapsody	Ficção	Estados Unidos	Estrangeira	Fox	Distribuição Internacional	174442	3537075
2019	Border	Ficção	Dinamarca, Suécia	Estrangeira	Arteplex	Distribuição Nacional	29347	513889
2019	Borrasca	Ficção	Brasil	Brasileira	Fênix Filmes/Tucumán	Distribuição Nacional	309	4358
2019	Brightburn - Filho Das Trevas	Ficção	Estados Unidos	Estrangeira	Sony	Distribuição Internacional	77584	1162959
2019	Brincando Com Fogo	Ficção	Estados Unidos	Estrangeira	Paramount	Distribuição Internacional	310681	4080813
2019	Brinquedo Assassino	Ficção	Estados Unidos	Estrangeira	Imagem	Distribuição Nacional	270135	4006857
2019	Brooklyn Sem Pai Nem Mãe	Ficção	Estados Unidos	Estrangeira	Warner	Distribuição Internacional	10270	234797
2019	Bruna Surfistinha	Ficção	Brasil	Brasileira	Imagem/RioFilme	Distribuição Nacional	19	95
2019	Bumblebee	Ficção	Estados Unidos	Estrangeira	Paramount	Distribuição Internacional	895771	12929065
2019	Cachorros	Ficção	Chile, França	Estrangeira	Imovision	Distribuição Nacional	10	56
2019	Cadáver	Ficção	Estados Unidos	Estrangeira	Sony	Distribuição Internacional	2332	23052
2019	Cadê Você, Bernadette?	Ficção	Estados Unidos	Estrangeira	Imagem	Distribuição Nacional	28825	629229
2019	Cafarnaum	Ficção	Líbano	Estrangeira	Sony	Distribuição Internacional	56099	894546
2019	Calmaria	Ficção	Estados Unidos	Estrangeira	Diamond Films	Distribuição Nacional	24033	486033
2019	Caminhos Magnéticos	Ficção	Portugal, Brasil	Brasileira	Esfera Produções	Distribuição Nacional	92	1082
2019	Camocim	Documentário	Brasil	Brasileira	Vitrine Filmes	Distribuição Nacional	55	165
2019	Capitã Marvel	Ficção	Estados Unidos	Estrangeira	Disney	Distribuição Internacional	8991777	146759329
2019	Carcereiros - O Filmes	Ficção	Brasil	Brasileira	Imagem	Distribuição Nacional	193356	2621887
2019	Carros 3	Animação	Estados Unidos	Estrangeira	Disney	Distribuição Internacional	50	365
2019	Carta Para Além Dos Muros	Documentário	Brasil	Brasileira	Descoloniza Filmes	Distribuição Nacional	3898	45935
2019	Carta Registrada	Ficção	Egito	Estrangeira	A2 Filmes	Distribuição Nacional	ND	ND
2019	Carvana	Documentário	Brasil	Brasileira	Mac Comunicação	Distribuição Nacional	22	84
2019	Casal Improvável	Ficção	Estados Unidos	Estrangeira	Paris	Distribuição Nacional	129350	2413461
2019	Cats	Ficção	Estados Unidos, Reino Unido	Estrangeira	Universal	Distribuição Internacional	44063	916398
2019	Caverna Dos Sonhos Esquecidos	Documentário	Alemanha, Canadá, Estados Unidos, França, Reino Unido	Estrangeira	Zeta Filmes	Distribuição Nacional	70	1035
2019	Cemitério Maldito	Ficção	Estados Unidos	Estrangeira	Paramount	Distribuição Internacional	550885	8395749
2019	Central Do Brasil	Ficção	Brasil	Brasileira	Videofilmes	Distribuição Nacional	263	2652
2019	Cezanne E Eu	Ficção	Bélgica, França	Estrangeira	Bretz Filmes	Distribuição Nacional	19150	337341
2019	Chega De Fiu Fiu	Documentário	Brasil	Brasileira	Taturana	Distribuição Nacional	164	799
2019	Chorar De Rir	Ficção	Brasil	Brasileira	Warner	Distribuição Internacional	82715	1250625
2019	Chuva É Cantoria Na Aldeia Dos Mortos	Ficção	Brasil, Portugal	Brasileira	Embaúba Filmes	Distribuição Nacional	3815	42917
2019	Chá Com As Damas	Documentário	Reino Unido	Estrangeira	Supo Mungam Films	Distribuição Nacional	2183	28337
2019	Cinderela E O Príncipe Secreto	Animação	Estados Unidos	Estrangeira	Imagem	Distribuição Nacional	117	2188
2019	Cinderela Pop	Ficção	Brasil	Brasileira	Vitrine Filmes	Distribuição Nacional	476714	6433928
2019	Cine Holliúdy 2 - A Chibata Sideral	Ficção	Brasil	Brasileira	Downtown	Distribuição Nacional	169970	2479403
2019	Cine São Paulo	Documentário	Brasil	Brasileira	Taturana	Distribuição Nacional	438	3253
2019	Climax	Ficção	França	Estrangeira	Imovision	Distribuição Nacional	10244	165276
2019	Colette	Ficção	Estados Unidos, Reino Unido	Estrangeira	Diamond Films	Distribuição Nacional	12853	194161
2019	Com Amor, Simon	Ficção	Estados Unidos	Estrangeira	Fox	Distribuição Internacional	273	2923
2019	Como Treinar O Seu Dragão 3	Animação	Estados Unidos	Estrangeira	Universal	Distribuição Internacional	3940204	58484475
2019	Como Treinar Seu Dragão 2	Animação	Estados Unidos	Estrangeira	Disney	Distribuição Internacional	509	5202
2019	Compra-Me Um Revólver	Ficção	México	Estrangeira	Pandora Filmes	Distribuição Nacional	2178	33813
2019	Conquistar, Amar E Viver Intensamente	Ficção	França	Estrangeira	Imovision	Distribuição Nacional	4132	53723
2019	Coringa	Ficção	Canadá, Estados Unidos	Estrangeira	Warner	Distribuição Internacional	9746101	156781766
2019	Creed Ii	Ficção	Estados Unidos	Estrangeira	Warner	Distribuição Internacional	675952	10549383
2019	Crime Sem Saída	Ficção	Estados Unidos	Estrangeira	Galeria Distribuidora	Distribuição Nacional	231238	3386306
2019	Crimes Obscuros	Ficção	Estados Unidos, Polônia, Reino Unido	Estrangeira	Cinecolor Do Brasil	Distribuição Nacional	22378	344513
2019	Crítico	Documentário	Brasil	Brasileira	Vitrine Filmes	Distribuição Nacional	86	555
2019	Cubatão - A Volta Do Guará Vermelho	Documentário	Brasil	Brasileira	Raiz Distribuidora	Distribuição Nacional	143	715
2019	Culpa	Ficção	Dinamarca	Estrangeira	Califórnia	Distribuição Nacional	35358	581136
2019	Cyrano - Mon Amour	Ficção	Bélgica, França	Estrangeira	A2 Filmes	Distribuição Nacional	12334	180515
2019	Cópias - De Volta À Vida	Ficção	Estados Unidos	Estrangeira	Paris	Distribuição Nacional	35467	598598
2019	D.P.A. - Detetives do Prédio Azul	Ficção	Brasil	Brasileira	Downtown/Paris	Distribuição Nacional	14	152
2019	Dafne	Ficção	Itália	Estrangeira	Pagu Pictures	Distribuição Nacional	3244	48459
2019	De Peito Aberto	Documentário	Brasil	Brasileira	Pagu Pictures	Distribuição Nacional	1113	17936
2019	De Pernas Pro Ar 3	Ficção	Brasil	Brasileira	Downtown/Paris	Distribuição Nacional	1838298	28463297
2019	De Repente Uma Família	Ficção	Estados Unidos	Estrangeira	Paramount	Distribuição Internacional	499	9654
2019	Deadpool 2	Ficção	Estados Unidos	Estrangeira	Fox	Distribuição Internacional	111	1948
2019	Depois Da Tempestade	Ficção	Japão	Estrangeira	Imovision	Distribuição Nacional	42	280
2019	Depois Do Casamento	Ficção	Estados Unidos	Estrangeira	Diamond Films	Distribuição Nacional	36710	829117
2019	Depois Do Fim	Documentário	Brasil	Brasileira	Lança Filmes	Distribuição Nacional	584	6202
2019	Desafio De Um Campeão	Ficção	Itália	Estrangeira	Arteplex	Distribuição Nacional	1965	34225
2019	Deslembro	Ficção	Brasil	Brasileira	Imovision	Distribuição Nacional	16500	250186
2019	Detetives do Prédio Azul 2 - O Mistério Italiano	Ficção	Brasil	Brasileira	Paris	Distribuição Nacional	442552	5690622
2019	Deus Não Esta Morto: Uma Luz Na Escuridão	Ficção	Estados Unidos	Estrangeira	Califórnia	Distribuição Nacional	216	1572
2019	Deus É Mulher E Seu Nome É Petúnia	Ficção	Bélgica, Croácia (Hrvatska), Eslovênia, França, Macedônia (República Yugoslava)	Estrangeira	Pandora Filmes	Distribuição Nacional	ND	ND
2019	Diamantino	Ficção	Brasil, França, Portugal	Brasileira	Vitrine Filmes	Distribuição Nacional	1630	19725
2019	Diante Dos Meus Olhos	Documentário	Brasil	Brasileira	Pique-Bandeira Filmes	Distribuição Nacional	157	1379
2019	Dias Vazios	Ficção	Brasil	Brasileira	Olhar Distribuição	Distribuição Nacional	1456	16511
2019	Divaldo – O Mensageiro Da Paz	Ficção	Brasil	Brasileira	Disney	Distribuição Internacional	430704	6807617
2019	Divinas Divas	Documentário	Brasil	Brasileira	Vitrine Filmes	Distribuição Nacional	1	15
2019	Divino Amor	Ficção	Brasil, Dinamarca, Noruega, Uruguai	Brasileira	Vitrine Filmes	Distribuição Nacional	35730	445821
2019	Diz A Ela Que Me Viu Chorar	Documentário	Brasil	Brasileira	Vitrine Filmes	Distribuição Nacional	1952	14054
2019	Diários De Classe	Documentário	Brasil	Brasileira	Elo Company	Distribuição Nacional	1907	16559
2019	Djon África	Ficção	Brasil, Cabo Verde, Portugal	Brasileira	Vitrine Filmes	Distribuição Nacional	52	156
2019	Dogman	Ficção	França, Itália	Estrangeira	Arteplex	Distribuição Nacional	5277	88823
2019	Dois Papas	Ficção	Argentina, Estados Unidos, Itália, Reino Unido	Estrangeira	O2 Play	Distribuição Nacional	17767	295113
2019	Domingo	Ficção	Brasil, França	Brasileira	Arthouse	Distribuição Nacional	2666	33405
2019	Dor E Glória	Ficção	Espanha	Estrangeira	Universal	Distribuição Internacional	219945	4159543
2019	Dora E A Cidade Perdida	Ficção	Austrália, Estados Unidos	Estrangeira	Paramount	Distribuição Internacional	594019	8909795
2019	Doutor Sono	Ficção	Estados Unidos	Estrangeira	Warner	Distribuição Internacional	301443	4900013
2019	Downtown Abbey	Ficção	Reino Unido	Estrangeira	Universal	Distribuição Internacional	107645	2469095
2019	Dragon Ball Super: Broly	Animação	Japão	Estrangeira	Fox	Distribuição Internacional	1293065	18119055
2019	Duas Coroas, A História De São Maximiliano Kolbe	Documentário	Polônia	Estrangeira	A2 Filmes	Distribuição Nacional	ND	ND
2019	Duas Rainhas	Ficção	Reino Unido	Estrangeira	Universal	Distribuição Internacional	81549	1778642
2019	Duda E Os Gnomos	Animação	Estados Unidos	Estrangeira	Imagem	Distribuição Nacional	297	2508
2019	Dumbo	Ficção	Estados Unidos	Estrangeira	Disney	Distribuição Internacional	1849624	29682018
2019	El Hombre Que Cuida	Ficção	Brasil, Porto Rico, República Dominicana	Brasileira	Esfera Produções	Distribuição Nacional	491	6906
2019	Ela Disse, Ele Disse	Ficção	Brasil	Brasileira	Imagem	Distribuição Nacional	244984	3457573
2019	Elegia De Um Crime	Documentário	Brasil	Brasileira	Vitrine Filmes	Distribuição Nacional	866	7323
2019	Eleições	Documentário	Brasil	Brasileira	Olhar Distribuição	Distribuição Nacional	2675	22088
2019	Elton John - Becoming Rocketman	Documentário	Reino Unido	Estrangeira	Paramount	Distribuição Internacional	ND	ND
2019	Em Chamas	Ficção	Coréia do Sul	Estrangeira	Pandora Filmes	Distribuição Nacional	3012	41422
2019	Em Trânsito	Ficção	Alemanha, França	Estrangeira	Supo Mungam Films	Distribuição Nacional	774	10802
2019	Emma E As Cores Da Vida	Ficção	França, Itália, Suíça	Estrangeira	Espaço Filmes	Distribuição Nacional	8807	137958
2019	Encantado	Animação	Canadá, Estados Unidos	Estrangeira	Imagem	Distribuição Nacional	785	7276
2019	Encontro De Casais	Ficção	Estados Unidos	Estrangeira	Universal	Distribuição Internacional	52	1874
2019	Encontros	Ficção	França	Estrangeira	Imovision	Distribuição Nacional	25535	444556
2019	Entardecer	Ficção	França, Hungria	Estrangeira	Califórnia	Distribuição Nacional	16598	291788
2019	Entre Facas E Segredos	Ficção	Estados Unidos	Estrangeira	Paris	Distribuição Nacional	470691	8330101
2019	Entre Tempos	Ficção	Itália	Estrangeira	Cineart Filmes	Distribuição Nacional	5697	92075
2019	Entrevista Com Deus	Ficção	Estados Unidos	Estrangeira	Imagem	Distribuição Nacional	127	1485
2019	Era O Hotel Cambridge	Ficção	Brasil, Espanha, França	Brasileira	Vitrine Filmes	Distribuição Nacional	52	270
2019	Era Uma Vez Em Hollywood	Ficção	Estados Unidos	Estrangeira	Sony	Distribuição Internacional	737582	14332441
2019	Era Uma Vez Um Deadpool	Ficção	Estados Unidos	Estrangeira	Fox	Distribuição Internacional	10076	138360
2019	Escape Room	Ficção	Estados Unidos	Estrangeira	Sony	Distribuição Internacional	528354	7948397
2019	Espero Tua (Re)Volta	Documentário	Brasil	Brasileira	Taturana	Distribuição Nacional	2834	19738
2019	Espírito Jovem	Ficção	Estados Unidos, Reino Unido	Estrangeira	Diamond Films	Distribuição Nacional	1284	19321
2019	Estaremos Sempre Juntos	Ficção	Bélgica, França	Estrangeira	Imovision	Distribuição Nacional	8148	139909
2019	Estação Do Diabo	Ficção	Filipinas	Estrangeira	Zeta Filmes	Distribuição Nacional	253	2934
2019	Estou Me Guardando Para Quando O Carnaval Chegar	Documentário	Brasil	Brasileira	Vitrine Filmes	Distribuição Nacional	10561	82168
