Ano de exibição	Título da obra	Gênero	País(es) produtor(es) da obra	Nacionalidade da obra	Empresa distribuidora	Origem da empresa distribuidora	Público no ano de exibição	Renda (R$) no ano de exibição
2017	Elis	Ficção	Brasil	Brasileira	Downtown/Paris	Distribuição Nacional	23675	364154,9
2017	Ella e John	Ficção	França, Itália	Estrangeira	Sony	Distribuição Internacional	610	6828
2017	Elle	Ficção	França, Alemanha	Estrangeira	Sony	Distribuição Internacional	14495	216789,8
2017	Elon não acredita na morte	Ficção	Brasil	Brasileira	Vitrine Filmes	Distribuição Nacional	2207	15553,84
2017	Em Busca de Fellini	Ficção	Estados Unidos	Estrangeira	Cineart Filmes	Distribuição Nacional	5602	82682,6
2017	Em Busca de Vingança	Ficção	Estados Unidos, Reino Unido	Estrangeira	H2O Films	Distribuição Nacional	8740	134350,86
2017	Em defesa de Cristo	Ficção	Estados Unidos	Estrangeira	Califórnia	Distribuição Nacional	119109	1536558,02
2017	Em ritmo de fuga	Ficção	Estados Unidos, Reino Unido	Estrangeira	Sony	Distribuição Internacional	582057	8983166,52
2017	Emoji - O filme	Animação	Estados Unidos	Estrangeira	Sony	Distribuição Internacional	1683814	23675491,78
2017	Encantados	Ficção	Brasil	Brasileira	RioFilme	Distribuição Nacional	3964	44269,51
2017	Entre irmãs	Ficção	Brasil	Brasileira	H2O Films/Sony	Codistribuição Internacional-Nacional	58453	938543,45
2017	Entrelinhas	Ficção	Estados Unidos	Estrangeira	Europa	Distribuição Nacional	202	2655,74
2017	Epa! Cadê o Noé?	Animação	Bélgica, Alemanha, Irlanda, Luxemburgo	Estrangeira	Paris	Distribuição Nacional	100	585
2017	Epidemia de Cores	Documentário	Brasil	Brasileira	Lança Filmes	Distribuição Nacional	49	242
2017	Era o Hotel Cambridge	Ficção	Brasil, Espanha, França	Brasileira	Vitrine Filmes	Distribuição Nacional	30161	309938,22
2017	Esperando acordada	Ficção	França	Estrangeira	Pandora Filmes	Distribuição Nacional	18	175
2017	Esquadrão Suicida	Ficção	Estados Unidos	Estrangeira	Warner	Distribuição Internacional	224	2441
2017	Esta é sua morte - O show	Ficção	Estados Unidos	Estrangeira	Cineart Filmes	Distribuição Nacional	6248	82996,25
2017	Estados Unidos Pelo Amor	Ficção	Polônia, Suécia	Estrangeira	Imovision	Distribuição Nacional	4436	59754,75
2017	Estamos vivos	Ficção	Brasil	Brasileira	Livres Filmes	Distribuição Nacional	62	371,2
2017	Esteros	Ficção	Brasil, Argentina, França	Brasileira	Europa	Distribuição Nacional	3718	59558,42
2017	Estopô Balaio	Documentário	Brasil	Brasileira	Bela Filmes	Distribuição Nacional	290	1417,5
2017	Estrada para Ythaca	Ficção	Brasil	Brasileira	Vitrine Filmes	Distribuição Nacional	8	48
2017	Estranhos no Paraíso	Ficção	Alemanha, Estados Unidos	Estrangeira	Zeta Filmes	Distribuição Nacional	347	2844,7
2017	Estrelas Além do Tempo	Ficção	Estados Unidos	Estrangeira	Fox	Distribuição Internacional	398251	6633689
2017	Eu fico loko	Ficção	Brasil	Brasileira	Downtown/Paris	Distribuição Nacional	559431	6848306,92
2017	Eu não sou seu negro	Documentário	Bélgica, Estados Unidos, França, Suíça	Estrangeira	Imovision	Distribuição Nacional	29474	403811,14
2017	Eu sou Ingrid Bergman	Documentário	Suécia	Estrangeira	Zeta Filmes	Distribuição Nacional	62	546
2017	Eu te levo	Ficção	Brasil	Brasileira	Pandora Filmes	Distribuição Nacional	472	5177,96
2017	Eu, Daniel Blake	Ficção	Bélgica, França, Reino Unido	Estrangeira	Imovision	Distribuição Nacional	105843	1583879,93
2017	Eu, Olga Hepnarová	Ficção	Eslováquia, França, Polônia, República Tcheca	Estrangeira	Supo Mungam Films	Distribuição Nacional	2388	24924,98
2017	Eva não dorme	Ficção	Argentina, Espanha, França	Estrangeira	Pandora Filmes	Distribuição Nacional	6470	88747,96
2017	Exodus - De onde vim não existe mais	Documentário	Alemanha, Brasil	Brasileira	Paris/O2 Play	Distribuição Nacional	6280	77573,34
2017	Extraordinário	Ficção	Estados Unidos	Estrangeira	Paris	Distribuição Nacional	4183535	57816055,19
2017	Faces de uma Mulher	Ficção	França	Estrangeira	Alphaville Filmes	Distribuição Nacional	7914	108592,89
2017	Fala comigo	Ficção	Brasil	Brasileira	Vitrine Filmes	Distribuição Nacional	8575	120527,91
2017	Fala Sério, Mãe!	Ficção	Brasil	Brasileira	Downtown/Paris	Distribuição Nacional	883251	11433212,25
2017	Fallen	Ficção	Estados Unidos	Estrangeira	H2O Films	Distribuição Nacional	674	6751
2017	Feito na América	Ficção	Estados Unidos	Estrangeira	Universal	Distribuição Internacional	553421	8965994
2017	Filhos de Bach	Ficção	Alemanha, Brasil	Brasileira	Disney	Distribuição Internacional	3337	52203
2017	Fitzcarraldo	Ficção	Alemanha, Peru	Estrangeira	F. J. Cines	Distribuição Nacional	16	112
2017	Fome de Poder	Ficção	Estados Unidos	Estrangeira	Diamond Films	Distribuição Nacional	64383	1242251,1
2017	Fonte da Juventude	Documentário	Brasil	Brasileira	Pindorama Filmes	Distribuição Nacional	120	2260,15
2017	Foucault Contra Si Mesmo	Documentário	França	Estrangeira	Vilacine	Distribuição Nacional	2007	21494,96
2017	Fragmentado	Ficção	Estados Unidos	Estrangeira	Universal	Distribuição Internacional	1011581	15188106
2017	Frantz	Ficção	Alemanha, França	Estrangeira	Califórnia	Distribuição Nacional	20340	287422,51
2017	Fátima	Ficção	Canadá, França	Estrangeira	Imovision	Distribuição Nacional	10646	155478,42
2017	Fênix	Ficção	Alemanha, Polônia	Estrangeira	Imovision	Distribuição Nacional	60	507
2017	Gabeira	Documentário	Brasil	Brasileira	Gávea Filmes e Produções/Pipoca & Filmes	Distribuição Nacional	1638	19889,08
2017	Gabriel e a Montanha	Ficção	França, Brasil	Brasileira	Bretz Filmes/Pagu Pictures	Distribuição Nacional	41314	685647,29
2017	Gaga - O Amor pela Dança	Documentário	Alemanha, Holanda, Israel, Suécia	Estrangeira	Vitrine Filmes	Distribuição Nacional	10148	145949,96
2017	Galeria F	Documentário	Brasil	Brasileira	Elo Company	Distribuição Nacional	569	5379,03
2017	Gatos	Documentário	Estados Unidos, Turquia	Estrangeira	Espaço Filmes	Distribuição Nacional	17874	290200,54
2017	Glory	Ficção	Bulgária, Grécia	Estrangeira	Pandora Filmes	Distribuição Nacional	5374	69341,18
2017	Gosto se discute	Ficção	Brasil	Brasileira	Imagem	Distribuição Nacional	169485	2400978,15
2017	Gostosas, Lindas e Sexies	Ficção	Brasil	Brasileira	Downtown/Paris	Distribuição Nacional	85063	1189017,34
2017	Gritos e Sussurros	Ficção	Suécia	Estrangeira	F. J. Cines	Distribuição Nacional	1157	10982,5
2017	Guardiões da Galáxia Vol. 2	Ficção	Estados Unidos	Estrangeira	Disney	Distribuição Internacional	4207641	67529482
2017	Guerra do Paraguay	Ficção	Brasil	Brasileira	Livres Filmes	Distribuição Nacional	760	9609,12
2017	Heartstone	Ficção	Dinamarca, Islândia	Estrangeira	Filmes da Mostra	Distribuição Nacional	1468	11081,55
2017	Hector	Ficção	Brasil	Brasileira	Polifilmes	Distribuição Nacional	26	135
2017	Heli	Ficção	México	Estrangeira	Zeta Filmes	Distribuição Nacional	26	190
2017	Hiroshima Meu Amor	Ficção	França, Japão	Estrangeira	Zeta Filmes	Distribuição Nacional	6265	73603,42
2017	Historietas Assombradas - O Filme	Animação	Brasil	Brasileira	Vitrine Filmes	Distribuição Nacional	34806	473895,76
2017	História Antes de uma História	Animação	Brasil	Brasileira	Polifilmes/Spcine	Distribuição Nacional	84	695,5
2017	Histórias de Amor que Não Pertencem a Este Mundo	Ficção	Itália	Estrangeira	Alphaville Filmes	Distribuição Nacional	14041	199718,24
2017	Homem Comum	Documentário	Brasil	Brasileira	Vitrine Filmes	Distribuição Nacional	242	1210,83
2017	Homem Irracional	Ficção	Estados Unidos	Estrangeira	Imagem	Distribuição Nacional	77	1584,27
2017	Homem-Aranha: De Volta ao Lar	Ficção	Estados Unidos	Estrangeira	Sony	Distribuição Internacional	6686736	102726271,29
2017	Horizonte Profundo: Desastre no Golfo	Ficção	Estados Unidos	Estrangeira	Paris	Distribuição Nacional	624	5346
2017	Human flow - Não existe lar se não há para onde ir	Documentário	Alemanha	Estrangeira	Paris	Distribuição Nacional	3841	63353,05
2017	Humano - Uma viagem Pela Vida	Documentário	França	Estrangeira	Sato Company	Distribuição Nacional	94	940
2017	Ida	Ficção	Polônia	Estrangeira	Zeta Filmes	Distribuição Nacional	22	214
2017	Imprevistos de uma noite em Paris	Ficção	França	Estrangeira	Imovision	Distribuição Nacional	7350	100846,29
2017	Incompreendida	Ficção	França, Itália	Estrangeira	Imovision	Distribuição Nacional	152	1345
2017	Indignação	Ficção	Estados Unidos	Estrangeira	Sony	Distribuição Internacional	45	403
2017	Inseparáveis	Ficção	Argentina	Estrangeira	Paris	Distribuição Nacional	5237	92690,79
2017	Insubordinados	Ficção	Brasil	Brasileira	Pandora Filmes	Distribuição Nacional	7	50
2017	Insubstituível	Ficção	França	Estrangeira	Cineart Filmes	Distribuição Nacional	25720	361769,51
2017	Internet - O Filme	Ficção	Brasil	Brasileira	Downtown/Paris	Distribuição Nacional	380166	4915838,38
2017	Intolerância.doc	Documentário	Brasil	Brasileira	Modo Operante Produções	Distribuição Nacional	236	3779,59
2017	Introdução à Música do Sangue	Ficção	Brasil	Brasileira	ArtHouse	Distribuição Nacional	634	6574,2
2017	Inumanos	Ficção	Estados Unidos	Estrangeira	UCI	Distribuição Nacional	4906	99878
2017	Invasão Zumbi	Ficção	Coréia do Sul	Estrangeira	Paris	Distribuição Nacional	121450	1672075,39
2017	Invisível	Ficção	Argentina, Brasil, Uruguai	Brasileira	Vitrine Filmes	Distribuição Nacional	9488	79774,53
2017	Irmã	Ficção	Estados Unidos	Estrangeira	Supo Mungam Films	Distribuição Nacional	75	632
2017	It: A coisa	Ficção	Estados Unidos	Estrangeira	Warner	Distribuição Internacional	4414235	61909031
2017	Jack Reacher: Sem Retorno	Ficção	Estados Unidos	Estrangeira	Paramount	Distribuição Internacional	1921	32057
2017	Jackie (2017)	Ficção	Estados Unidos	Estrangeira	Diamond Films	Distribuição Nacional	85655	1579654,56
2017	Janis - Little Girl Blue	Documentário	Estados Unidos	Estrangeira	Zeta Filmes	Distribuição Nacional	57	563,24
2017	Jauja	Ficção	Argentina	Estrangeira	Vitrine Filmes	Distribuição Nacional	56	560
2017	Jesus - A Esperança	Ficção	Brasil	Brasileira	Moro Comunicação	Distribuição Nacional	2180	23575,07
2017	Joaquim	Ficção	Portugal, Brasil	Brasileira	Imovision	Distribuição Nacional	19635	276482,19
2017	Jogos Mortais: Jigsaw	Ficção	Canadá, Estados Unidos	Estrangeira	Paris	Distribuição Nacional	635145	8627964,92
2017	John From	Ficção	França, Portugal	Estrangeira	Fênix Filmes	Distribuição Nacional	446	4149
2017	John Wick – Um Novo Dia para Matar	Ficção	Estados Unidos	Estrangeira	Paris	Distribuição Nacional	552133	7749961,63
2017	Jonas e o Circo sem Lona	Documentário	Brasil	Brasileira	Vitrine Filmes	Distribuição Nacional	2524	17391,22
2017	Jovem Mulher	Ficção	França	Estrangeira	Zeta Filmes	Distribuição Nacional	2745	41244,05
2017	Jovens, Loucos e Mais Rebeldes	Ficção	Estados Unidos	Estrangeira	Califórnia	Distribuição Nacional	41	329
2017	João, o maestro	Ficção	Brasil	Brasileira	Sony	Distribuição Internacional	87517	1515200,75
2017	Julho Agosto	Ficção	França	Estrangeira	Cineart Filmes	Distribuição Nacional	4405	59934,79
2017	Jumanji: Bem-Vindo à Selva	Ficção	Estados Unidos	Estrangeira	Sony	Distribuição Internacional	465225	7117355
2017	Kiki: Os Segredos do Desejo	Ficção	Espanha	Estrangeira	Imovision	Distribuição Nacional	17939	287552,96
2017	Kingsman: O Círculo Dourado	Ficção	Estados Unidos, Reino Unido	Estrangeira	Fox	Distribuição Internacional	1016303	16338502
2017	Kiriku: Os Homens e as Mulheres	Animação	França	Estrangeira	Imovision	Distribuição Nacional	16	99,58
2017	Kong - A Ilha da Caveira	Ficção	Estados Unidos	Estrangeira	Warner	Distribuição Internacional	1902480	29408965
2017	Kóblic	Ficção	Argentina	Estrangeira	Paris	Distribuição Nacional	351	3463,85
2017	La La Land – Cantando estações	Ficção	Estados Unidos	Estrangeira	Paris	Distribuição Nacional	1398364	23780093,44
2017	La Vingança	Ficção	Argentina, Brasil	Brasileira	Downtown/Paris	Distribuição Nacional	5219	83403,52
2017	Lady Macbeth	Ficção	Inglaterra	Estrangeira	Califórnia	Distribuição Nacional	28641	471557,61
2017	Lamparina da Aurora	Ficção	Brasil	Brasileira	Lume Produções Cinematográficas	Distribuição Nacional	2049	14987,6
2017	Las acacias	Ficção	Argentina, Espanha	Estrangeira	Vitrine Filmes	Distribuição Nacional	23	44
2017	Laura	Documentário	Brasil	Brasileira	Vitrine Filmes	Distribuição Nacional	43	232
2017	Lego Batman	Animação	Dinamarca, Estados Unidos	Estrangeira	Warner	Distribuição Internacional	1336388	19841259
2017	Lego Ninjago - O Filme	Animação	Estados Unidos	Estrangeira	Warner	Distribuição Internacional	335204	4898201
2017	Liga da Justiça	Ficção	Estados Unidos	Estrangeira	Warner	Distribuição Internacional	8442364	132575577
2017	Lino - Uma Aventura de Sete Vidas	Animação	Brasil	Brasileira	Fox	Distribuição Internacional	314242	4343921
2017	Lion - Uma Jornada para Casa	Ficção	Austrália, Estados Unidos, Reino Unido	Estrangeira	Diamond Films	Distribuição Nacional	209164	3744553,05
2017	Logan	Ficção	Estados Unidos	Estrangeira	Fox	Distribuição Internacional	6400985	91260487
2017	Logan Lucky - Roubo em Família	Ficção	Estados Unidos	Estrangeira	Diamond Films	Distribuição Nacional	17443	363701,47
2017	Lola Pater	Ficção	Bélgica, França	Estrangeira	Imovision	Distribuição Nacional	9017	128577,17
2017	Lou	Ficção	Alemanha, Áustria, Itália, Suíça	Estrangeira	Cineart Filmes	Distribuição Nacional	78	1228,86
2017	Loucas de alegria	Ficção	França, Itália	Estrangeira	Imovision	Distribuição Nacional	253	1902,95
2017	Love	Ficção	Bélgica, França	Estrangeira	Imovision	Distribuição Nacional	193	2526,84
2017	Love Film Festival	Ficção	Brasil	Brasileira	ArtHouse	Distribuição Nacional	2473	32609,6
2017	Lua em Sagitário	Ficção	Argentina, Brasil	Brasileira	Elo Company	Distribuição Nacional	145	875
2017	Lucky	Ficção	Estados Unidos	Estrangeira	Imovision	Distribuição Nacional	7463	110146,87
2017	Lumière! A Aventura Começa	Documentário	França	Estrangeira	Imovision	Distribuição Nacional	4133	59809,53
2017	Lygia, uma Escritora Brasileira	Documentário	Brasil	Brasileira	Cultura	Distribuição Nacional	784	11842,49
2017	Macaco Tião - O Candidato do Povo	Documentário	Brasil	Brasileira	Pipa Produções	Distribuição Nacional	76	850,8
2017	Magia ao Luar	Ficção	Estados Unidos	Estrangeira	Imagem	Distribuição Nacional	115	2151,49
2017	Mais do que eu possa me reconhecer	Documentário	Brasil	Brasileira	Livres Filmes	Distribuição Nacional	215	2488,98
2017	Malasartes e o duelo com a morte	Ficção	Brasil	Brasileira	Downtown/Paris	Distribuição Nacional	114382	1540238,22
2017	Mamma Roma	Ficção	Itália	Estrangeira	F. J. Cines	Distribuição Nacional	26	206,5
2017	Manchester à beira-mar	Ficção	Estados Unidos	Estrangeira	Sony	Distribuição Internacional	105201	1860003,45
2017	Manifesto	Ficção	Alemanha	Estrangeira	Alphaville Filmes	Distribuição Nacional	15337	238534,84
2017	Mar Inquieto	Ficção	Brasil	Brasileira	Lança Filmes	Distribuição Nacional	189	2708,8
2017	Maresia	Ficção	Brasil	Brasileira	E.H. Produções	Distribuição Nacional	55	681
2017	Marguerite & Julien - um amor proibido	Ficção	França	Estrangeira	Alphaville Filmes	Distribuição Nacional	2074	24883,96
2017	Maria - Não esqueça que eu venho dos trópicos	Documentário	Brasil	Brasileira	Pandora Filmes	Distribuição Nacional	913	12010,45
2017	Marias	Documentário	Brasil	Brasileira	Vitrine Filmes	Distribuição Nacional	3	27
2017	Mark Felt - O homem que derrubou a Casa Branca	Ficção	Estados Unidos	Estrangeira	Diamond Films	Distribuição Nacional	32028	695557,09
2017	Martírio	Documentário	Brasil	Brasileira	Vitrine Filmes	Distribuição Nacional	6396	48396,18
2017	Masha e o Urso	Animação	Rússia	Estrangeira	Paris	Distribuição Nacional	6462	59746,4
2017	Mate-me por favor	Ficção	Argentina, Brasil	Brasileira	Imovision	Distribuição Nacional	48	485
2017	Max Steel	Ficção	Estados Unidos	Estrangeira	Imagem	Distribuição Nacional	51289	676160,06
2017	Me Chame Pelo Seu Nome	Ficção	Brasil, Estados Unidos, França, Itália	Estrangeira	Sony	Distribuição Internacional	1496	15267
2017	Melhores Amigos	Ficção	Estados Unidos	Estrangeira	Alpha Filmes/Pandora Filmes	Distribuição Nacional	6461	95128,2
2017	Memória em Verde e Rosa	Documentário	Brasil	Brasileira	Com Domínio Filmes	Distribuição Nacional	408	6105,91
2017	Mercuriales	Ficção	França	Estrangeira	Supo Mungam Films	Distribuição Nacional	164	2160
2017	Meu Corpo é Político	Documentário	Brasil	Brasileira	Olhar Distribuição	Distribuição Nacional	2256	19460,42
2017	Meu Malvado Favorito 3	Animação	Estados Unidos	Estrangeira	Universal	Distribuição Internacional	8989024	125923345
2017	Meus 15 Anos	Ficção	Brasil	Brasileira	Downtown/Paris	Distribuição Nacional	742137	8985791,9
2017	Mimosas	Ficção	Espanha, França, Marrocos, Qatar	Estrangeira	Pandora Filmes	Distribuição Nacional	405	4967
2017	Minha Mãe é uma Peça 2	Ficção	Brasil	Brasileira	Downtown/Paris	Distribuição Nacional	5213465	73713230,92
2017	Minha Vida de Abobrinha	Animação	França, Suíça	Estrangeira	Califórnia	Distribuição Nacional	2185	30759,52
2017	Missão cegonha	Animação	Alemanha, Bélgica, Estados Unidos, Luxemburgo, Noruega	Estrangeira	Playarte	Distribuição Nacional	70119	949293,15
2017	Mistério na Costa Chanel	Ficção	Alemanha, França	Estrangeira	Alpha Filmes/Pandora Filmes	Distribuição Nacional	2931	32077,18
2017	Moana - Um Mar de Aventuras	Animação	Estados Unidos	Estrangeira	Disney	Distribuição Internacional	5147838	71598597
2017	Monsieur & Madame Adelman	Ficção	França	Estrangeira	Imovision	Distribuição Nacional	94923	1562944,24
2017	Monster Trucks	Ficção	Estados Unidos	Estrangeira	Paramount	Distribuição Internacional	340868	4555756
2017	Moonlight - Sob a Luz do Luar	Ficção	Estados Unidos	Estrangeira	Diamond Films	Distribuição Nacional	340507	5906274,57
2017	Morangos Silvestres	Ficção	Suécia	Estrangeira	F. J. Cines	Distribuição Nacional	521	4561
2017	Morro do Céu	Documentário	Brasil	Brasileira	Vitrine Filmes	Distribuição Nacional	7	50
2017	Much Loved	Ficção	França, Marrocos	Estrangeira	Imovision	Distribuição Nacional	67	591,5
2017	Muito Romântico	Ficção	Brasil	Brasileira	Vitrine Filmes	Distribuição Nacional	1327	8875,72
2017	Mulher do Pai	Ficção	Brasil, Uruguai	Brasileira	Vitrine Filmes	Distribuição Nacional	6396	76898,28
2017	Mulheres Divinas	Ficção	Suíça	Estrangeira	Alphaville Filmes	Distribuição Nacional	6079	87133,81
2017	Mulheres do século 20	Ficção	Estados Unidos	Estrangeira	Sony	Distribuição Internacional	13195	223849,44
2017	Mulher-Maravilha	Ficção	Estados Unidos	Estrangeira	Warner	Distribuição Internacional	7011338	109894366
2017	Mulholland Drive - Cidade dos Sonhos	Ficção	Estados Unidos, França	Estrangeira	Zeta Filmes	Distribuição Nacional	5008	60615,03
2017	Mundos Opostos	Ficção	Grécia	Estrangeira	Playarte	Distribuição Nacional	18	151,5
2017	My Little Pony - O Filme	Animação	Estados Unidos	Estrangeira	Paris	Distribuição Nacional	134406	1794668,19
2017	Mãe só há uma	Ficção	Brasil	Brasileira	Vitrine Filmes	Distribuição Nacional	185	1383
2017	mãe!	Ficção	Estados Unidos	Estrangeira	Paramount	Distribuição Internacional	519678	8306049
